Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2020-07-31,50.0,22.436,2.2285612408629,8.75656742556918,-60.971,-33.0,-34.300000000000004,-24.8,-14.2,-28.299999999999997
2020-01-31,50.0,18.8205,2.65667755904466,8.81834215167549,-53.144999999999996,-22.3,-20.1,-15.299999999999999,2.4,-15.2
2019-07-31,50.0,18.89525,2.6461676876464,8.7108013937282,-53.9,-24.2,-21.5,-10.3,1.1,-14.0
2019-01-31,49.0,19.30875,2.5377095876222,8.7813620071685,-54.5,-20.8,-22.9,-9.8,0.7,-17.7
2018-07-31,49.0,19.0515,2.5719759598982,8.8929219600726,-53.3,-20.7,-24.5,-13.5,3.1,-17.7
2018-01-31,48.0,18.6635,2.5718648699333,9.0909090909091,-51.290438069445,-18.832862760434,-27.575555757634,-16.789580586134,5.8103090833135,-19.394158241069
2017-07-31,49.0,17.79075,2.7542402653064,9.2452830188679,-48.033202541388,-15.637758976234,-16.903691429663,-1.9891672100828,14.594499946712,-6.7107874640068
2017-01-31,49.0,21.9505,2.2322953919045,9.6837944664032,-55.883490278567,-27.26300779854,-25.892276992162,-11.273892212043,-9.1604296314006,-22.226191361512
2016-07-31,44.0,18.535,2.3738872403561,8.7301587301587,-52.899062691348,-23.148429331559,-24.406062678632,-11.484429279929,-9.8285614932937,-15.942701168297
2016-01-31,49.0,17.43675,2.8101567092491,9.9391480730223,-42.998849710971,-9.3040865882961,-1.8832912121311,-1.8916371970948,21.19876581601,0.15056695514892
2015-07-31,49.0,15.73975,3.1131371209835,10.229645093946,-35.007575762349,-0.75978257538551,3.8255571987934,-2.0647773367801,36.355119143142,9.4383088614712
2015-01-31,49.0,14.6275,3.3498547256879,10.229645093946,-30.065663346808,9.126710047009,7.6671281887043,5.8325951926915,45.867877702473,15.065593131908
2014-07-31,42.0,12.93255,3.2476193790088,8.7591240875912,-32.270711595229,5.476561762399,-10.917505235392,-8.5388738482029,32.600248208165,12.674755470608
2014-01-31,37.0,13.33275,2.7751214115618,8.0014417012074,-39.986561653017,-5.0099632110663,-18.467110352748,-13.776567341289,44.206854382749,-6.1397483671478
2013-07-31,37.0,12.94115,2.8590967572434,8.1199707388442,-37.254643220702,-4.1707226159992,-13.224220352224,-0.7259834149099,33.56404908877,2.4535790118941
2013-01-31,37.0,12.7384,2.9046034038812,8.471867770172,-33.493470371695,1.218449026791,-16.044137804234,-4.8355207673589,23.023407482637,5.6233222053587
2012-07-31,37.0,13.687,2.7032950975378,8.5499711149624,-37.532175677925,-3.8631431111371,-13.429011487745,-10.410033345557,-2.5205684182779,2.1770059695608
2012-01-31,37.0,13.6844,2.7038087164947,8.81535873745,-35.580962720689,1.7000032383377,-13.33783028102,-0.46988642463593,-1.8450366602284,2.0630441100513
2011-07-31,32.0,11.67075,2.7418974787396,7.8720787207872,-32.548647509481,13.052568290514,-17.060777937785,3.9903378309829,7.1698795771719,9.4167809358858
2010-07-31,32.0,12.782,2.5035205758097,8.5714285714286,-32.941413147954,,,,,
2010-01-31,32.0,12.81375,2.4973173348942,8.9385474860335,-30.242532544856,,,,,
2009-07-31,33.0,13.8104,2.3895035625326,9.2436974789916,-33.067127099928,,,,,
2008-06-30,32.0,10.1685,3.1469734965826,8.9635854341737,-11.849481888443,,,,,
2007-06-30,29.0,10.76755,2.693277486522,8.5043988269795,-21.018255527214,,,,,
2007-01-31,29.0,10.8894,2.6631403015777,9.0062111801242,-17.293779454109,,,,,
2006-05-31,29.0,11.3031,2.5656678256408,9.3548387096774,-17.236521753524,,,,,
2006-01-31,28.0,10.5425,2.6559165283377,8.8888888888889,-15.685189576582,,,,,
2005-06-30,28.0,10.8675,2.5764895330113,9.1503267973856,-15.800995653226,,,,,
2004-05-31,24.0,11.6,2.08,8.2758620689655,-28.656361474435,,,,,
2003-04-30,23.0,10.53,2.14,8.4870848708487,-19.400903410744,,,,,
2002-04-30,21.9,9.28,2.37,8.7951807228916,-5.2243456584961,,,,,
2001-04-30,21.9,9.29,2.36,8.6220472440945,-7.1900189010281,,,,,
2000-04-30,20.9,9.41,2.22,8.3266932270916,-11.512293017092,,,,,
